transcript_id	miracidia	sporocyst_2d_invitro	sporocyst_1d_invivo	sporocyst_3d_invivo	sporocyst_shedder_invivo	cercariae	somule_3h	somule_24h	adult_m_21d	adult_f_21d	adult_m_28d	adult_f_28d	adult_m_38d	adult_f_38d
Smp_000020.1	87.56	102.99	32.03	37.31	25.58	62.14	70.36	58.25	48.89	46.27	43.3	44.97	27.19	41.47
Smp_000030.1	83.05	93.85	10.09	10.24	14.49	111.32	130.72	55.61	36.17	42.75	38.33	45.14	5.19	24.01
Smp_000030.2	583.13	732.22	104.22	125.63	80.91	129.58	100.8	118.53	114.86	108.26	105.3	98.36	119.13	101.45
Smp_000030.3	31.72	33.48	9.43	14.26	24.28	99.33	91.61	27.89	14.6	17.44	18.83	20.58	8.91	14.74
Smp_000040.1	130.5	108.24	54.5	60.4	74.75	78.71	133.94	137.18	110.07	113.16	134.55	142.69	109.83	153.79
Smp_000040.2	5.32	3.09	0.39	1.86	0.64	4.11	3.97	3.35	5.4	4.12	6.36	6.27	1.24	2.68
Smp_000050.1	0.97	0.38	3.79	7.74	2.03	0	0	1.86	0	0.56	0.48	0.52	2.17	0
Smp_000050.2	8.47	25.02	2.06	0.54	0.14	10.56	59.82	28.61	4.4	4.09	5.35	6.2	0.11	6.25
Smp_000070.1	252.78	371.8	190.55	145.56	170.22	69.39	48.94	48.01	64.22	55.91	73.71	65.8	125.71	63.16
Smp_000075.1	0	0	0	0	0	0	0.15	0.05	0.23	0.03	0.02	0	0	0
Smp_000080.1	0	0.11	0	0	0	1.45	7.35	4.04	0.77	0.97	0.78	1.27	2.25	15.26
Smp_000100.1	30.88	59.12	15.46	16.88	24.77	153.3	107.66	26.9	35.96	41.34	66.34	77.74	22.53	72.3
Smp_000100.2	1.12	0.11	0	0	0	3.32	0.41	0.35	5.12	4.57	2.82	2.1	0.12	1.44
Smp_000100.3	18.43	29.75	0	0	2.11	130.08	54.23	8.72	23.39	27.56	23.48	29.58	2.56	16.4
Smp_000100.4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000100.5	2.64	3.84	1.82	0	0	5.43	7.84	4.22	10.83	12.1	5.06	5.26	0.39	4.79
Smp_000100.6	6.42	15.12	1.18	0	0.36	1.79	1.05	0.45	1.37	1.17	0.94	0.89	0.5	0.66
Smp_000110.1	22.09	26.13	9.99	11.64	9.41	24.99	24.78	19.63	10.64	10.36	11.42	9.09	13.85	7.04
Smp_000130.1	22.8	40.36	35.02	29.67	19.04	43.48	84.74	44.71	25.67	27.84	36.79	41.41	11.7	41.82
Smp_000150.1	169.83	95.62	26.57	34.62	34.35	117.93	147.18	45.95	49.96	49.05	48.19	50.39	55.16	49.15
Smp_000160.1	1.9	3.46	5.55	1.59	8.3	1.93	5.16	17.92	16.23	16.18	10.42	11.32	3.9	12.28
Smp_000180.1	0.67	0.29	1.52	0.87	8.38	0.15	0.25	0.61	11.27	25.48	17.37	28.18	1.49	32.59
Smp_000190.1	19.95	35.48	28.49	31.75	17.7	10.3	19.29	37.1	101.16	50.9	142.96	114.74	213.6	115.13
Smp_000200.1	18.15	14.14	26.27	35.1	16.99	26.42	41.7	15.13	19.57	22.46	27.6	29.04	20.16	24.03
Smp_000230.1	34.71	21.01	12.72	11.2	8.75	33.79	38.26	23.19	12.03	12.02	11.54	11.54	9.66	13.79
Smp_000240.1	2031.49	2620.51	334.04	503.78	274.94	358.04	286.35	365.14	372.76	310.49	320.22	298.45	438.31	276.57
Smp_000250.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000260.1	241.04	237.9	305.47	221.24	206.5	338.01	329.23	378.31	511.1	510.45	766.88	813.1	527.72	865.75
Smp_000270.1	0.11	0.04	0	1.79	0	1.38	0.07	0.23	0.19	0.26	72.62	15.06	623.46	3.48
Smp_000280.1	0.11	0	0	0	0	0.21	0.26	0	0.28	0.45	454.01	101.6	3969.57	16.19
Smp_000300.1	0	0	3.7	1.81	0.17	0.15	0	0	0.27	0.37	0.23	0.18	0	0.3
Smp_000300.2	0.52	0.44	0	0	5.62	3.43	2.72	3.74	17.99	17.13	15.75	17.56	6.52	13.24
Smp_000310.1	77.88	65.98	16.2	7.67	10.45	50.83	41.37	24.19	16.44	14.58	13.46	12.69	9.89	10.45
Smp_000310.2	120.91	65.1	83.18	81.23	89.22	41.35	75.31	69.16	49.59	54.95	77.43	78.14	159.27	91.6
Smp_000310.3	2.87	2.36	15.45	5.1	21.08	15.14	16.04	6.23	7.84	7.55	5.3	7.48	6.77	6.48
Smp_000320.1	26.13	10.06	15.14	6.29	54.01	46.84	10.68	19.85	64.27	63.37	75.95	84.44	29.54	85.64
Smp_000340.1	25.07	17.68	13.45	17.44	5.5	2.41	3.55	1.24	1.12	1.13	2.64	1.68	4.07	1.13
Smp_000370.1	46.72	45.46	7.38	6.07	16.67	9.95	16.66	11.91	9.1	14.86	11.26	13.09	18.8	15.51
Smp_000390.1	0	0	0	0	0	0	0	0	0	0	148.19	31.94	1460.33	4.68
Smp_000420.1	0.22	0	0	0	0.33	0.15	0.11	0	0.38	0.82	723.42	151.7	4471.98	23.12
Smp_000430.1	0	0	0	0	0	0.17	0.13	0	0.51	0.99	1418.05	285.96	11796.77	45.65
Smp_000470.1	13.66	7.94	6.83	0	7.63	3.13	21.04	7.21	3.24	2.97	2.56	1.65	3.58	2.42
Smp_000470.2	68.48	61.08	48.14	52.76	100.82	20.14	22.61	22.72	62.28	62.33	56.64	60.73	71.67	66.69
Smp_000470.3	11.15	4.97	16.89	4.02	17.28	13	11.84	7.68	9.6	7.46	7.45	6.99	7.25	6.34
Smp_000480.1	85.81	82.6	36.17	32.06	8.08	9.87	23.19	28.43	22.43	24.77	26.95	26.47	34.33	26.44
Smp_000480.2	53.81	86.61	117.09	120.58	87.19	46.44	53.18	83.89	80.63	84.29	81.46	72.13	105.25	58.9
Smp_000500.1	0.13	0	43.96	0	431.86	2.3	1.61	0	0.57	0.13	1.2	0.15	15.34	0.1
Smp_000510.1	12.94	14.45	22.84	27.14	63.14	16.37	14.24	25.06	38.25	39.81	34.55	37.72	28.66	35.78
Smp_000560.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000580.1	1.66	0.66	1.95	2.22	11.35	2.71	0.63	3.24	9.91	9.46	9.27	9.7	5.99	10.34
Smp_000590.1	155.9	146.57	157.19	159.26	140.06	102.99	111.81	72.72	107.57	113.44	99.92	102.24	143.05	109.59
Smp_000600.1	199.64	159.96	79.11	95.05	30.31	73.33	71.65	57.65	34.32	30.13	35.28	28.36	55.33	24.86
Smp_000600.2	16.96	9.47	0	0	4.18	1.19	0.83	9.15	5.89	6.32	4.95	4.32	13.96	6.69
Smp_000620.1	0.45	0.13	0	0	2.18	2.35	14.73	8.57	0.83	0.98	0.24	0.32	0.21	0.79
Smp_000630.1	8.34	4.28	26.91	18.09	27.62	6.04	18.26	10.54	10.76	11.14	10.93	11.88	9.48	10.7
Smp_000640.1	168.71	155.48	51.49	78.12	79.32	94.61	77.39	35.3	44.49	45.07	50.27	51.33	81.9	53.68
Smp_000650.1	77.58	34.45	14.83	18.37	21.08	35.26	59.28	34.02	19.8	21.62	18.1	18.42	15.55	24.55
Smp_000650.2	0.22	0.07	4.86	0	4.77	2.04	12.33	9.34	4.68	3.93	2.56	2.41	1.87	3.17
Smp_000650.3	8.99	3.42	0	2.58	0.98	19.62	11.03	6.97	3.06	3.38	2.24	3.09	0.24	2.01
Smp_000660.1	85.88	96.67	93.61	38.64	37.24	464.7	276.14	169.31	298.55	436.06	529.6	621.45	649.44	584.36
Smp_000670.1	27.21	21.82	26.57	22.05	18.73	44.92	55.15	67.33	41.57	47.42	57.7	63.12	32.48	64.33
Smp_000680.1	16.1	22.73	7.81	5.1	13.09	40.8	52.97	78.91	48.82	42.75	42.41	43.29	53.66	42.03
Smp_000690.1	0.48	0.26	2.08	2.38	1.81	0.42	3.38	0.77	0.47	0.37	0.97	0.95	1.09	0.28
Smp_000700.1	6.31	8.3	25.41	21.09	17.51	11.94	28.63	22.09	33.43	40.11	43.01	49.82	28.05	52.91
Smp_000710.1	86.07	88.53	50.97	51.09	64.01	65.97	81.34	75.15	58.82	61.12	51.57	55.31	80.67	77.45
Smp_000720.1	192.68	124.21	36.45	48.17	22.17	87.1	107.83	84.31	44.92	39.04	41.07	36.11	34.53	35.91
Smp_000740.1	1287.84	1046.27	256.92	349.79	209.97	523.43	388.19	251.86	321.54	305.69	352.29	360.58	473.42	370.28
Smp_000755.1	2.9	6.51	7.77	5.92	15.82	85.96	160.76	108.15	64.8	56.53	72.17	77.31	51.16	85.84
Smp_000770.1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000790.1	2.03	1.66	0	0	7.55	17.86	5.02	3.97	5.82	5.26	8.83	9.48	2.93	6.36
Smp_000790.2	4.67	2.89	7.58	8.14	6.99	21.49	18.59	14.27	8.34	8.88	10.06	9.14	6.87	7.84
Smp_000810.1	15.97	21.58	18.22	13.68	27.52	10.44	11.65	18.88	25.87	25.62	20.39	19.41	46.3	21.65
Smp_000820.1	18.28	13.02	25.49	13.23	142.93	333.7	462.75	335.01	250.05	413.64	493.56	653.53	298.44	729.28
Smp_000820.2	0.93	0	0	0	6.55	28.92	31.55	2.58	5.62	14.21	16.73	25.09	7.4	29.34
Smp_000830.1	0.13	0.04	0.42	0.48	0.45	0.37	2.62	3.17	0.72	0.97	0.38	0.46	0.08	0.39
Smp_000850.1	365.73	503.43	73.11	85.86	62.83	35.48	51.48	57.15	67.92	79.97	103.73	103.62	185.63	141.29
Smp_000870.1	13.7	5.38	6.69	23.65	0	13.02	10.44	2.73	2.29	1.75	1.83	1.67	0.56	2.11
Smp_000870.2	8.8	1.61	0	0	0	2.41	11.26	1.41	0.94	2.21	0.24	0.52	0.23	0.7
Smp_000870.3	0.28	3.84	7.55	0.42	13.26	7.25	10.54	5.21	3.08	5.68	4.99	5.3	3.41	10.55
Smp_000870.4	23.58	18.78	11.83	0	3.84	11.93	2.4	1.64	2.35	2.18	4.32	6.66	2.09	2.62
Smp_000880.1	3529.32	4093.76	2831.22	3667.84	4522.23	1167.8	426.81	565.99	1348.98	1359.66	1399.15	1368.72	2528.42	1141.87
Smp_000900.1	3.74	5.45	17.96	7.34	7.72	2.76	6.65	6.72	13.23	6.22	14.04	9.24	5.83	13.56
Smp_000910.1	0.61	0.2	3.11	1.19	2.72	3.71	0.56	0.65	4.89	4.88	4.31	5.12	1.79	3.81
Smp_000950.1	0.86	0.51	2.84	0.54	6.33	1.08	3.94	4.32	1.25	1.16	7.68	2.09	21.03	0.69
Smp_000980.1	672.66	626.1	417.79	358.87	504.04	373.81	298.79	152.22	238.02	213.99	157.51	154.29	232.22	185.37
Smp_000990.1	60.75	29.48	28.68	34.8	28.58	69.02	89.92	64.45	27.71	28.75	29.02	31.1	23.85	29.57
Smp_001000.1	5.23	2.23	52.27	138.13	65.91	9.53	107.26	103.71	55.89	86.27	61.52	78.44	26.43	70.47
Smp_001020.1	10.05	28.02	14.96	16.44	12.5	22.47	14.21	9.5	9.73	10.52	10.98	10.96	11.79	12.36
Smp_001030.1	12.32	10.88	13.54	14.24	13.9	15.13	11.24	11.25	18.04	19.05	16.09	18.3	12.24	19.7
Smp_001040.1	66.78	97.67	59.49	43.8	53.45	82.57	136.33	188.82	173.46	209.8	213.88	246.87	96.96	236.46
Smp_001070.1	0.48	0.35	0	1.8	1.03	1.81	13.03	13.93	4.33	6.7	5.42	6.33	0.61	7.64
Smp_001080.1	457.86	54.42	37.49	49.97	118.65	189.68	72.84	27.41	120.92	120.28	118.52	132.71	94.31	128.64
Smp_001090.1	27.01	39.12	38.74	46.83	27.91	29.64	39.78	40.79	27.82	25.7	23.46	21.05	21.6	17.29
Smp_001095.1	13.31	16.93	11.64	20.31	11.78	7.19	12.84	17.29	11.21	11.03	10.36	10.25	9.25	10.09
Smp_001095.2	13.31	16.93	11.64	20.31	11.78	7.19	12.84	17.29	11.21	11.03	10.36	10.25	9.25	10.09
Smp_001100.1	0.65	12.38	5.38	2.56	28.75	14.08	7.13	3.68	137.27	165.46	177.73	190.02	57.94	148.57
Smp_001120.1	14.8	13.88	38.38	70.66	62.01	22.39	27.43	36.06	45.84	54.32	35.18	38.9	60.69	46.3
Smp_001160.1	0.52	0.11	4.56	1.95	5.22	3.75	0.62	1.66	6.89	7.09	7.38	8.32	5.28	7.18
Smp_001170.1	127.78	301.3	78.96	143.83	59.39	78.01	36.35	1.86	10.85	3.86	16.84	15.35	6.01	4.05
Smp_001170.2	197.93	41.35	41.24	15.95	10.97	44.19	80.92	125.3	71.97	76.35	77.51	64.57	120.8	60.77
Smp_001180.1	25.18	37.4	13.61	19.86	9.67	41.95	44.22	56.2	18.02	16.16	15.79	15.9	9.29	13.42
Smp_001210.1	6.35	7.33	19.81	13.72	0	1.19	0.47	4.43	3.34	2.39	4.51	2.86	7.12	1.48
Smp_001210.2	2.85	5.05	0.09	0	6.14	1.44	2.55	2.36	6.55	4.59	3.38	3.11	2.87	3.14
Smp_001360.1	167.54	194.54	546.12	628.74	404.14	276.6	202.46	296.34	359.6	384.09	383.08	387.51	601.4	382.74
Smp_001390.1	5.12	7.83	11.57	7.94	5.91	14.78	25.53	28.09	19.85	20.23	17.32	18.48	7.6	16.58
Smp_001410.1	48.62	54.35	48.09	28.02	22.66	13.31	11.95	31.01	35.72	21.97	75.38	66.08	215.27	105.33
Smp_001420.1	7.67	12.09	15.59	18.73	17.72	40.77	36.3	45.01	25.51	31	33.42	36.34	18.54	38.57
