#Transcript_ID	GFF_annotation	HHPred_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169)
Smp_000030.1	Armadillo-like helical	Proteasome subunit alpha type-1 (E.C.3.4.25.1)
Smp_000040.1	Kinesin light chain	Kinesin light chain 2, C-Jun-amino-terminal
Smp_000050.1	Ankyrin repeat	Transient receptor potential cation channel
Smp_000070.1	Phospholipid/glycerol acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase (E.C.2.3.1.51)
Smp_000075.1	Homeobox domain	Engrailed Homeodomain {Drosophila melanogaster [TaxId: 7227]}
Smp_000080.1	Target SNARE coiled-coil homology domain	Use1 
Smp_000100.1	Filamin/ABP280 repeat	FILAMIN-B
Smp_000110.1	Elongation factor EFG, domain V-like	60S RIBOSOMAL PROTEIN L3, 60S
Smp_000130.1	Hormone-sensitive lipase, N-terminal	HSL_N 
Smp_000150.1	Zinc finger, PHD-type	Chromatin remodeler, Complex, GENE REGULATION
Smp_000160.1	Leucine-rich repeat N-terminal domain	Slit {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_000180.1	EF-hand domain	Frequenin (neuronal calcium sensor 1) {Human (Homo sapiens) [TaxId: 9606]}
Smp_000190.1	Short-chain dehydrogenase/reductase SDR	17-beta-hydroxysteroid dehydrogenase type XI {Human (Homo sapiens) [TaxId: 9606]}
Smp_000200.1	Smr domain	Polynucleotide kinase, kinase domain {Bacteriophage T4 [TaxId: 10665]}
Smp_000230.1	Zinc finger C2H2-type	Cohesin subunit SA-2, Double-strand-break repair
Smp_000240.1	RNA recognition motif domain	Transportin-1, RNA-binding protein FUS
Smp_000250.1	NA	NA
Smp_000260.1	Saposin A-type domain	(Pro)phytepsin {Barley (Hordeum vulgare) [TaxId: 4513]}
Smp_000270.1	Trematode Eggshell Synthesis	TES 
Smp_000280.1	Trematode Eggshell Synthesis	TES 
Smp_000300.1	WD40 repeat	Intraflagellar transport protein 80
Smp_000310.1	SNARE associated Golgi protein	SNARE_assoc 
Smp_000320.1	NDRG	PROTEIN NDRG2
