#Transcript_ID	GFF_annotation	HHsearch_annotation
Smp_000020.1	Beta-N-acetylglucosaminidase	Protein O-GlcNAcase (E.C.3.2.1.169,3.2.1.-)
Smp_000030.1	Armadillo-type fold	RPN1_RPN2_N 
Smp_000030.2	Proteasome/cyclosome repeat	Proteasome subunit alpha type-1 (E.C.3.4.25.1)
Smp_000030.3	Proteasome/cyclosome repeat	Proteasome subunit alpha type-1 (E.C.3.4.25.1)
Smp_000040.1	Kinesin light chain	Kinesin light chain 2, C-Jun-amino-terminal
Smp_000040.2	Kinesin light chain	Kinesin light chain 2, C-Jun-amino-terminal
Smp_000050.1	Ankyrin repeat	nvTRPM2 channel
Smp_000050.2	Ankyrin repeat	nvTRPM2 channel
Smp_000070.1	Phospholipid/glycerol acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase (E.C.2.3.1.51)
Smp_000075.1	Homeobox domain	Engrailed Homeodomain {Drosophila melanogaster [TaxId: 7227]}
Smp_000080.1	Target SNARE coiled-coil homology domain	Syntaxin-1A
Smp_000100.1	Filamin/ABP280 repeat	FILAMIN-B
Smp_000100.2	Filamin/ABP280 repeat	FILAMIN-B
Smp_000100.3	Filamin/ABP280 repeat	FILAMIN-B
Smp_000100.4	Filamin/ABP280 repeat	FILAMIN-B
Smp_000100.5	Filamin/ABP280 repeat	FILAMIN-B
Smp_000100.6	Filamin/ABP280 repeat	FILAMIN-B
Smp_000110.1	Elongation factor EFG, domain V-like	60S RIBOSOMAL PROTEIN L3, 60S
Smp_000130.1	Hormone-sensitive lipase, N-terminal	HSL_N 
Smp_000150.1	Zinc finger, PHD-type	Histone H3.2, Histone H4, Histone
Smp_000160.1	Leucine-rich repeat N-terminal domain	Slit {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
Smp_000180.1	EF-hand domain	Frequenin (neuronal calcium sensor 1) {Human (Homo sapiens) [TaxId: 9606]}
